Address,Amount,Bonus
0x7fda8c4dcb388727413bffe0f801558f212b5f97,"19,967,587",10%
0xf3bc9b54941d39e1366e2f401801c1bdcc09eeee,"14,197,527",10%
0x0f9eb1350ecf5b481712d4fcb91d716f2cfcd9de,"6,361,292",10%
0x79e47712cefa1dad63961eb9de71038ace57a0f5,"5,219,690",10%
0xf0C62776B621f6A47d924c0401EFD18A3473ceD0,"4,458,665",10%
0xe40d1ffef1c6fbfef71e92bfbcd504fd1cee11e5,"3,665,090",10%
0x183e8d6714eb08f5434c77ea0a31eaf7a13ec4ff,"3,366,471",10%
0x03acb08607eb6154c5bd05cdd7be08727fb22c04,"2,826,325",10%
0xa924f6633abc981f5f00435014f84cb05abe46c2,"2,824,477",10%
0xcb45b6be12647943fb5a49ab68aed7283bcf0743,"2,750,000",10%
0xd745b071d9188f57feda378020173faed9dbf327,"2,745,390",10%
0x2d9f692a82b0012b94470755c4ba4f58aefe585d,"2,564,466",10%
0x87454b4e09486cd076f697ddc96027e167df6b61,"2,397,590",10%
0xf809e381dbfc4a02e56842b540bfa37511e9a99e,"2,376,739",10%
0x42850f493d5ee865766f0e3e7d9d4dc6365c6d72,"2,200,234",10%
0x375c8c31b05a8a59c62800b71a03286833387fdc,"2,170,256",10%
0x9bc399d18b1d106724001191436a3f160592a992,"1,955,978",10%
0x282fe967128b9f320b049c77673fdfb744ebc115,"1,934,873",10%
0xf1a01d61a738f1cc8b1f06eaf02a95c583506745,"1,540,000",10%
0x67606405209617fbba512aec8c49a25640723fe9,"1,540,000",10%
0x093c759f6906eaa3011353291a4c5e3a89a95e76,"1,540,000",10%
0x2902fb7f24a58666fd6e46a9d5ba8d447ea13885,"1,540,000",10%
0x22616d85b3e849550efba42f2acfaeb7f7894503,"1,540,000",10%
0xfe349c5df9861de09997c50c8d3df9d419eea155,"1,523,940",10%
0xa613d0664614aeb05d75486634337626abc91d2f,"1,207,276",10%
0x37d5dcd215b05546059937b6d65f08251db93de3,"1,218,520",10%
0x26b69e8e827f9c4bf3a3dfad40c2cba54d73db19,"1,186,263",10%
0x1c12ac8562c71efe3a07e19c02736da48d871413,"1,181,563",10%
0x72d20264aed142cd0710812a13ae9cf48d10f558,"1,172,425",10%
0x2899534320b1e8fb76d506cac10e1288ad477ecf,"1,156,142",10%
0x8457b708cdefe34ebc9f9167a3fbdc26d4cbc180,"1,154,427",10%
0xdfe463a0b657fe498100920bff4298c1eeb439e6,"1,118,510",10%
0xbed58fa67bd966a40460b42f065dcccb0fd4fe4f,"1,112,793",10%
0x1f6c9f16c9cb24efe448a13416b14d4e541128dd,"1,108,305",10%
0xf809bd71e77f3643cb7513cd4b3602d45e7f3532,"679,255",5%
0x4b02e340320f0fe05c8f10c8b248a4536d4fe8ae,"594,792",5%
0x1757435816daabd1d2314417a5d1bb1f7bab87c4,"560,422",5%
0x0b2fc144b5cf2e3c84dc6df8394d81000db87e7b,"514,434",5%
0xe8393953336a67695f0564cea2fdf744a55f5f6d,"493,049",5%
0xf42985c871c2324e1f51f8d404049081ebaa8779,"478,494",5%
0x628937d426b4da17e12a3152c3023b9cb41fd51b,"454,295",5%
0x175052854d6b4a1fca26340b1218b54f74d0f0e4,"452,937",5%
0xb2c7bceaeb9c671d1ba58118578d63af1d1016c1,"416,181",5%
0xfb808010a734013eb11aa49429cf8011f07c2ad3,"413,624",5%
0x38512ad419ffad031647c0350aa478e7710f76f9,"389,145",5%
0x456000a0bf5174f4fa6020b669316b40ff368e4b,"386,730",5%
0xdcf646e7ec17e2df1a115d2507892675bc95a6f4,"368,804",5%
0x9c5c388cf9bbd016a0f8d84ab0f21020c5de42bf,"339,702",5%
0x7179ec59005e6fadb90e8433db8e6b688e2a1416,"316,042",5%
0x352ae6cc209a95295a53c38c398010d0ba5a53a6,"315,000",5%
0x2f8123ac0ce71b7ab0a2b036b714d4f118bbaf71,"282,106",5%
0xa549ec374604de3877fe2751a39b1f5d7782a5c4,"280,189",5%
0xf828861c68d2a05f43aaa49b769f88267fe29176,"272,178",5%
0x90177aebdfe318d9581536cb33395bf55e37a647,"253,237",5%
0xd83e758e022b924e2f460883ef80c9c96dc844c1,"226,468",5%
0x4be5ecc076c7db235b97264d480dcc9c1a57dc7b,"226,424",5%
0x1ded0b43598640d4309020f554d94c0384e40e78,"217,390",5%
0x51b60267e704f81ae8b26520b5a1b0241ab199fd,"215,145",5%
0xa891de63d107abd64f170828dd2c6f43f619820f,"209,305",5%
0x2c50910051f7e440f28afadf3241cd41be7da70c,"206,598",5%
0x2e4445069b0a578bbab287d97525640045000507,"204,794",5%
0x8b737c78c06b9e11712de4f14969c04f67171682,"203,244",5%
0x72c443c1e110383ab0c4ac616490c94937b8c91b,"197,781",5%
0x20a15454931586330173e09899be5199bbf78d54,"189,954",5%
0x252f867e44b628e6866c4330471adb3883222aac,"174,885",5%
0x97bd880e35ced7063a428bfd951dac6716bfddb6,"161,020",5%
0x79a2405c0ca5a965a1f12ebf853cbd3dedb75dfc,"149,692",5%
0xa1507f9591aa057e1f98cc964f7045b218e2cbd3,"138,879",5%
0xd2891ab6c9763fe31123b88b4d2b2573235fb0c5,"120,799",5%
0xdd43e288bd42a1ca5bf4e7184e06235f657bbd23,"116,788",5%
0x043dde343c242014b9b1dbc1d8750b5813ea9d16,"113,234",5%
0x8ec6c7b616f0433f7102bcbeab6daa855616a83c,"113,234",5%
0x91b47dde9fc004719c6d004203c7743fe9f3cbe7,"113,234",5%
0x6507645bafe242c7de52498054d43c1b1845e6cb,"113,234",5%
0x82de32095fe3ad86490b395cadd78967ea55919c,"113,234",5%
0xad1b7812c37646e949d76b33cae5c2e482e77810,"113,234",5%
0x7e4453231c98b379bc693d4d3db80336d7e7b2cb,"113,234",5%
0xef4a0847fd8667b0e331d45bc1681d15c928816b,"113,234",5%
0x236fe61f259e8bbc8d6898a4efaa6d396b5e269c,"113,234",5%
0x3333bbcfec5af86e14758ac684d01279d9089863,"113,234",5%
0xc68ba549c0faef23f5219478017738ad368bcad0,"113,234",5%
0x7b0707daa34fa978539260df5f2a952cb41d56c0,"113,234",5%
0xfbd5fcaff3e413d1a7a61769ae61e3e5cd57c316,"113,234",5%
0x8ebc6890c4714a8b12ae9367c9dd5237edea55f2,"113,234",5%
0x5c4ffbae264f2c82a13fd07d2d1fa437d098944c,"113,234",5%
0xdb0a24dc8a6eabfa8e412748567c4288ec97ff8c,"113,234",5%
0xe723468383e02d72cb7e7ddc6874d7edb437586b,"113,234",5%
0x8140ea94fa2e1546483ec04448de04777b97f42e,"113,234",5%
0x2bd1bc5d7c79771cd9d6c4ee0d5cf7774ac4dcad,"113,234",5%
0x5457025591d96cb60b01d95d95136bc77c38f984,"113,544",5%
0xfa421910bf370ce5e553f3a7277cf4a60174417e,"113,234",5%
0x30b67889db18134743cce5baabf87822ca314a3a,"113,234",5%
0xcf148bbd00be52b541bef02bc6dfee33e5fc3129,"113,234",5%
0xfe57121fa30abab93375243f728b728e7c28a7e3,"113,234",5%
0x262e9e6ded3f4ddd083f4acc0d1e1de55e3e1d53,"113,234",5%
0x10b0c4b48d2fb33834ecd7791b17351e2e620865,"113,234",5%
0x9078ae78a184aff1e9a21581b0d60e801b224368,"113,234",5%
0xc2361c1479fca6d9cf88eacfd246697d44c84c42,"107,994",5%
0x681bb25f6deb98d0ad8041560f0eeb09ce5ba7f4,"107,572",5%
0x58629a1e82303db62133099e0cb02840f9b653c6,"106,884",5%
0x1d019f4a7ddbc99ac256b9d7da7632c2aaaf41f1,"105,332",5%
0x71f9ccd68bf1f5f9b571f509e0765a04ca4ffad2,"5,217,124",0%
0x15cc196b376a6c7377e865862480a0e91f343b64,"4,431,305",0%
0xf29d777378a812072e715bd6088d4033a23c1d81,"3,561,855",0%
0xf54cbf4b5a58c822d2f78de5808ccc138ca7b906,"1,581,015",0%
0xc9b7f801541f88ae2f62c4c0eed29949d057c951,"1,509,789",0%
0x2cd94c6b0415a16631a4e6b4c49fb04a47c159cb,"1,375,582",0%
0xad7eae2be3ba60b0a2ce215449f3ee57c78881d5,"1,337,472",0%
0xabb65b4184f257e3a2cfc244189cb42d4bc9cc42,"642,501",0%
0xcfb8addca206122563aacf255922bb13e5a137a6,"559,892",0%
0x8cc7362a9e7cba09a7390c697d72f14f5860db96,"533,335",0%
0xc545ecef8bb304650c6f28925b3a9b043d3afa66,"445,380",0%
0xba6ff68d95cb21fa58f4946d189fe38e2c730b32,"420,406",0%
0x4b6d340474e568ef35a2904de3d4842d744cc60d,"420,000",0%
0xddcb34bd90b3d88e27dba79a93d359cbbe2c0925,"420,000",0%
0x52f3ae4429bba2dfe719c026815f46ba77f32422,"416,611",0%
